City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
219,Puerto Quijarro,BO,2022-01-31 00:00:38,-17.7833,-57.7667,296.81,98,96,1.6
220,Limbang,MY,2022-01-31 00:00:39,4.75,115.0,297.21,95,100,0.87
221,Mizan Teferi,ET,2022-01-31 00:00:40,6.9833,35.5833,291.64,45,100,0.5
222,Clarksburg,US,2022-01-30 23:57:45,39.2807,-80.3445,272.21,54,100,1.12
223,Yar-Sale,RU,2022-01-31 00:00:40,66.8333,70.8333,252.26,98,89,3.51
224,Erenhot,CN,2022-01-31 00:00:41,43.6475,111.9767,257.4,88,100,6.74
225,Japura,ID,2022-01-31 00:00:41,-0.3167,102.35,296.38,97,63,0.33
226,Mahanoro,MG,2022-01-31 00:00:42,-19.9,48.8,295.68,83,4,2.3
227,Pinega,RU,2022-01-31 00:01:42,64.7001,43.3936,260.47,97,100,1.74
228,Ulladulla,AU,2022-01-31 00:01:43,-35.35,150.4667,301.91,66,6,3.23
229,Lompoc,US,2022-01-31 00:00:24,34.6391,-120.4579,294.86,57,1,2.68
230,Fairhope,US,2022-01-31 00:01:44,30.523,-87.9033,286.91,67,0,2.06
231,Asuncion,PY,2022-01-30 23:59:05,-25.3007,-57.6359,304.84,35,20,1.54
232,Cabedelo,BR,2022-01-30 23:57:04,-6.9811,-34.8339,299.52,75,10,4.89
233,Qaqortoq,GL,2022-01-31 00:01:44,60.7167,-46.0333,267.43,83,100,7.86
234,Port Blair,IN,2022-01-31 00:01:45,11.6667,92.75,295.11,71,29,3.52
235,Kayerkan,RU,2022-01-31 00:01:45,69.3497,87.7602,245.27,95,86,3.46
236,Mahebourg,MU,2022-01-31 00:01:46,-20.4081,57.7,298.85,82,100,7.12
237,Vostok,RU,2022-01-31 00:01:46,46.4856,135.8833,250.94,92,52,0.54
238,Pingliang,CN,2022-01-31 00:01:47,35.5392,106.6861,258.78,84,2,2.26
239,Tuapse,RU,2022-01-31 00:01:47,44.1125,39.0742,279.25,76,100,11.18
240,Graaff-Reinet,ZA,2022-01-31 00:01:48,-32.2522,24.5308,295.33,69,100,1.35
241,Matara,LK,2022-01-31 00:01:48,5.9485,80.5353,296.67,93,30,2.4
242,Kavieng,PG,2022-01-31 00:01:48,-2.5744,150.7967,300.75,76,93,0.77
243,Mtama,TZ,2022-01-31 00:01:49,-10.3,39.3667,294.88,98,81,0.32
244,Andenes,NO,2022-01-31 00:01:49,69.3143,16.1194,270.14,86,100,4.63
245,Robertsport,LR,2022-01-31 00:01:50,6.7533,-11.3686,299.72,88,5,3.06
246,Kruisfontein,ZA,2022-01-31 00:00:23,-34.0033,24.7314,291.97,95,87,1.2
247,Antalaha,MG,2022-01-31 00:01:50,-14.9003,50.2788,296.86,86,17,3.34
248,Mamallapuram,IN,2022-01-30 23:57:17,12.6264,80.1722,298.18,81,18,1.59
249,Sangmelima,CM,2022-01-31 00:01:51,2.9333,11.9833,291.99,38,100,0.91
250,Roma,US,2022-01-31 00:01:51,43.2128,-75.4557,262.26,65,0,0.0
251,Kailua,US,2022-01-31 00:01:52,21.4022,-157.7394,300.41,62,13,2.24
252,Teya,RU,2022-01-31 00:01:52,60.3778,92.6267,253.88,99,98,1.09
253,Portland,US,2022-01-30 23:57:26,45.5234,-122.6762,285.57,77,100,1.34
254,Vardo,NO,2022-01-31 00:01:53,70.3705,31.1107,270.26,62,98,5.98
255,Hervey Bay,AU,2022-01-31 00:01:53,-25.2986,152.8535,302.61,71,17,3.07
256,Victoria,HK,2022-01-31 00:00:55,22.2855,114.1577,288.33,77,90,0.89
257,Taoudenni,ML,2022-01-31 00:01:54,22.6783,-3.9836,295.02,13,82,8.76
258,Yarada,IN,2022-01-31 00:01:54,17.65,83.2667,291.33,100,20,1.03
