City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Conditions
239,Port Macquarie,AU,-31.4333,152.9167,303.13,74,40,4.63,thunderstorm
240,Ilulissat,GL,69.2167,-51.1,258.16,78,100,1.03,overcast clouds
241,Tuatapere,NZ,-46.1333,167.6833,294.73,63,100,2.45,moderate rain
242,Novyy Urengoy,RU,66.0833,76.6333,256.42,97,100,2.69,overcast clouds
243,Marzuq,YE,14.4,46.4667,292.02,48,38,1.97,scattered clouds
244,Vostok,RU,46.4856,135.8833,259.78,85,100,2.94,overcast clouds
245,Itarema,BR,-2.9248,-39.9167,298.04,80,84,3.78,broken clouds
246,Hobyo,SO,5.3505,48.5268,299.55,76,63,7.83,light rain
247,Bandarbeyla,SO,9.4942,50.8122,298.53,73,73,6.68,broken clouds
248,Maua,BR,-23.6678,-46.4614,294.04,95,100,2.84,overcast clouds
249,Spirit River,CA,55.7833,-118.8361,255.44,88,100,2.63,overcast clouds
250,Norrtalje,SE,59.758,18.705,268.84,86,100,2.67,overcast clouds
251,Kuah,MY,6.3265,99.8432,305.15,51,20,4.12,few clouds
252,Polunochnoye,RU,60.8697,60.4153,248.98,100,86,0.61,overcast clouds
253,Namanga,KE,-2.5433,36.7905,291.43,87,100,1.59,light rain
254,Prado,BR,-17.3411,-39.2208,297.76,94,31,3.6,scattered clouds
255,Shache,CN,38.4167,77.2406,273.87,28,76,0.44,broken clouds
256,Waingapu,ID,-9.6567,120.2641,304.83,58,20,8.32,few clouds
257,Astorga,BR,-23.2325,-51.6656,295.37,96,76,1.1,broken clouds
258,Poum,NC,-20.2333,164.0167,300.29,75,26,7.79,scattered clouds
259,Digby,CA,44.6169,-65.7655,269.88,77,100,4.14,overcast clouds
260,Yulara,AU,-25.2406,130.9889,296.06,94,100,4.63,heavy intensity rain
261,Iwanai,JP,42.9744,140.5089,272.17,64,99,5.51,overcast clouds
262,Williston,US,48.147,-103.618,262.56,80,100,5.36,overcast clouds
263,Udomlya,RU,57.8794,34.9925,268.59,98,100,1.25,overcast clouds
264,Nabire,ID,-3.3667,135.4833,302.24,64,98,2.7,overcast clouds
265,Atar,MR,20.5169,-13.0499,298.1,14,100,4.69,overcast clouds
266,Beringovskiy,RU,63.05,179.3167,260.34,95,100,5.42,snow
267,Praia Da Vitoria,PT,38.7333,-27.0667,288.29,82,40,7.49,scattered clouds
268,Vila Franca Do Campo,PT,37.7167,-25.4333,287.38,79,79,5.9,broken clouds
269,Astoria,US,46.1879,-123.8313,279.23,92,66,3.61,broken clouds
270,Nata,PA,8.3333,-80.5167,297.85,85,74,3.59,broken clouds
271,Horodnytsya,UA,50.807,27.3168,265.27,96,46,3.18,scattered clouds
272,Ouallam,NE,14.3188,2.0866,288.55,13,8,4.26,clear sky
273,Port Blair,IN,11.6667,92.75,300.17,65,40,4.12,haze
274,Kattivakkam,IN,13.2167,80.3167,302.2,71,36,1.93,scattered clouds
275,Zhireken,RU,52.8249,117.3076,256.51,70,23,1.25,few clouds
276,Saint-Georges,GD,12.0564,-61.7485,298.97,83,20,7.2,few clouds
277,Waitati,NZ,-45.75,170.5667,291.37,85,100,4.04,overcast clouds
278,La Romana,DO,18.4273,-68.9728,295.0,87,15,3.78,few clouds
279,Lavrentiya,RU,65.5833,-171.0,254.17,81,19,5.18,few clouds
280,Miri,MY,4.4148,114.0089,303.23,74,40,2.06,scattered clouds
281,Hervey Bay,AU,-25.2986,152.8535,305.21,76,60,8.16,broken clouds
282,Verkh-Usugli,RU,52.7,115.1667,257.23,70,42,1.24,scattered clouds
283,Ambilobe,MG,-13.2,49.05,299.3,85,100,0.33,light rain
284,Axim,GH,4.8699,-2.2405,297.88,86,100,1.01,overcast clouds
285,Jalu,LY,29.0331,21.5482,283.17,68,2,4.35,clear sky
286,Grindavik,IS,63.8424,-22.4338,273.41,74,100,11.83,overcast clouds
287,Katobu,ID,-4.9408,122.5276,305.77,47,92,2.61,overcast clouds
288,Necochea,AR,-38.5473,-58.7368,286.5,51,9,7.93,clear sky
289,Pringsewu,ID,-5.3582,104.9744,304.36,60,98,1.22,overcast clouds
290,Nome,US,64.5011,-165.4064,264.19,53,0,7.72,clear sky
291,Poya,NC,-21.35,165.15,301.91,69,93,4.11,overcast clouds
292,Karangampel,ID,-6.4622,108.4519,303.6,65,75,3.9,broken clouds
293,Shilong,CN,23.1123,113.8425,284.31,87,98,2.84,light rain
294,Curaca,BR,-8.9903,-39.9094,297.54,59,12,5.86,few clouds
295,Honiara,SB,-9.4333,159.95,301.88,79,83,1.99,broken clouds
296,Vanavara,RU,60.34,102.2797,255.17,90,95,1.01,overcast clouds
297,Baruun-Urt,MN,46.6806,113.2792,256.55,74,21,4.19,few clouds
298,San Cristobal,VE,7.7669,-72.225,293.25,84,97,0.98,overcast clouds
299,Sao Raimundo Nonato,BR,-9.0153,-42.6994,296.89,61,48,0.27,scattered clouds
300,Mayo,US,38.8876,-76.5119,272.52,76,0,2.24,clear sky
301,Asyut,EG,27.181,31.1837,280.25,69,3,1.14,clear sky
302,Guerrero Negro,MX,27.9769,-114.0611,288.71,77,12,4.94,few clouds
303,Alice Springs,AU,-23.7,133.8833,301.9,79,75,3.6,broken clouds
304,Opuwo,NA,-18.0607,13.84,288.58,65,99,1.65,overcast clouds
305,Ambulu,ID,-8.345,113.6058,303.89,64,77,2.92,broken clouds
306,Kondinskoye,RU,59.6481,67.41,251.7,99,86,2.31,overcast clouds
307,Borovoy,RU,55.4333,86.0833,261.75,85,40,3.0,light shower snow
308,Misratah,LY,32.3754,15.0925,285.47,42,95,6.48,overcast clouds
309,Pedernales,DO,18.0384,-71.744,296.83,78,13,1.6,few clouds
310,Krasnoselkup,RU,65.7,82.4667,259.28,96,100,3.79,overcast clouds
311,Korbach,DE,51.2756,8.873,275.61,89,100,5.19,overcast clouds
312,Moengo,SR,5.6167,-54.4,295.15,98,84,0.58,broken clouds
313,Nanortalik,GL,60.1432,-45.2371,267.71,80,100,3.86,overcast clouds
314,Komsomolskiy,UZ,40.4272,71.7189,273.55,80,35,1.03,mist
315,Zhangye,CN,38.9342,100.4517,269.95,22,79,0.57,broken clouds
316,Bandar-E Anzali,IR,37.4727,49.4622,281.21,60,100,1.49,overcast clouds
317,Mount Gambier,AU,-37.8333,140.7667,293.1,42,75,11.83,broken clouds
318,Aswan,EG,24.0934,32.907,282.94,63,0,3.33,clear sky
319,Namibe,AO,-15.1961,12.1522,294.06,75,99,3.53,overcast clouds
320,Mattru,SL,7.6244,-11.8332,294.76,98,54,1.07,broken clouds
321,Kurchum,KZ,48.5722,83.6542,255.52,86,25,0.27,scattered clouds
322,Saldanha,ZA,-33.0117,17.9442,289.18,94,11,5.03,few clouds
323,Fairview,US,40.8126,-73.999,269.95,70,0,0.0,clear sky
324,Nelson Bay,AU,-32.7167,152.15,307.46,74,12,4.36,few clouds
325,Channel-Port Aux Basques,CA,47.5702,-59.1367,268.04,72,100,8.99,overcast clouds
326,Bambous Virieux,MU,-20.3428,57.7575,301.05,78,75,6.69,light rain
327,Semenyih,MY,2.9516,101.843,305.01,61,100,0.24,overcast clouds
328,Biak,ID,-0.9131,122.8766,303.19,56,74,0.73,broken clouds
329,Vila,PT,42.0304,-8.1588,277.78,82,1,2.56,clear sky
330,Tomatlan,MX,19.9333,-105.25,290.83,63,0,1.6,clear sky
331,Yangjiang,CN,21.85,111.9667,286.45,78,100,5.42,overcast clouds
332,Kaeo,NZ,-35.1,173.7833,295.55,87,100,5.72,overcast clouds
333,Oranjemund,NA,-28.55,16.4333,291.76,92,14,2.89,few clouds
334,Vao,NC,-22.6667,167.4833,298.74,84,80,4.62,broken clouds
335,Porgera,PG,-5.4667,143.2,283.11,83,100,1.23,overcast clouds
336,Cooma,AU,-36.2333,149.1333,302.02,42,75,5.66,broken clouds
337,Dongkan,CN,33.9997,119.8308,277.8,32,49,4.37,scattered clouds
338,Luanda,AO,-8.8368,13.2343,298.15,83,20,1.54,few clouds
339,Luga,RU,58.7372,29.8453,267.34,96,100,1.98,light snow
340,Walvis Bay,NA,-22.9575,14.5053,293.76,86,100,2.36,overcast clouds
341,Arucas,ES,28.1198,-15.5233,291.58,53,100,1.22,overcast clouds
342,Sembakung,ID,3.8167,117.25,305.11,47,45,0.69,scattered clouds
343,Phan Thiet,VN,10.9333,108.1,304.0,52,20,8.36,few clouds
